year_of_assessment,chargeable_income_group,resident_type,number_of_taxpayers,assessable_income,chargeable_income,net_tax_assessed
2023,"400,001 - 500,000",Tax Resident,17768,8432314,7898253,1274767
2023,"500,001 - 1,000,000",Tax Resident,23756,16522919,15816864,2860643
2023,"1,000,001 & above",Tax Resident,8365,18077189,17839141,3698499
2023,"20,000 & below",Non-Tax Resident,23703,196299,196299,36562
2023,"20,001 - 25,000",Non-Tax Resident,2421,54320,54320,11064
2023,"25,001 - 30,000",Non-Tax Resident,1961,53785,53758,11000
2023,"30,001 - 40,000",Non-Tax Resident,2504,86634,86634,17526
2023,"40,001 - 50,000",Non-Tax Resident,1441,64268,64268,12748
2023,"50,001 - 60,000",Non-Tax Resident,1040,57012,57012,11096
2023,"60,001 - 70,000",Non-Tax Resident,687,44614,44614,8635
2023,"70,001 - 80,000",Non-Tax Resident,497,37249,37249,7073
2023,"80,001 - 100,000",Non-Tax Resident,661,58690,58690,10894
2023,"100,001 - 150,000",Non-Tax Resident,785,94549,94549,16937
2023,"150,001 - 200,000",Non-Tax Resident,294,50188,50188,8602
2023,"200,001 - 300,000",Non-Tax Resident,259,63086,63086,10474
2023,"300,001 - 400,000",Non-Tax Resident,82,28236,28215,4605
2023,"400,001 - 500,000",Non-Tax Resident,40,18136,17898,3255
2023,"500,001 - 1,000,000",Non-Tax Resident,54,36612,36306,6705
2023,"1,000,001 & above",Non-Tax Resident,56,360207,359916,78329
